id,food,class
1,Black Bean Soup,Today's Soup
2,Buffalo Chicken Soup,Today's Soup
3,Black Beans,Salad Bar
4,Caesar Salad,Salad Bar
5,Chefs Choice Salad,Salad Bar
6,Corn Niblet,Salad Bar
7,Cotija Cheese,Salad Bar
8,Diced Onions,Salad Bar
9,Diced Tomatoes,Salad Bar
10,Field Greens,Salad Bar
11,Flaked Tuna,Salad Bar
12,HUDS Salad Mix,Salad Bar
13,Hard Cooked Eggs,Salad Bar
14,Hummus,Salad Bar
15,Iberian Chick Pea Salad,Salad Bar
16,Roasted Brussel Sprouts,Salad Bar
17,Seasoned Chicken Breast,Salad Bar
18,Sliced Jalapeno Peppers,Salad Bar
19,Suntan Pepper Strips,Salad Bar
20,Tofu,Salad Bar
21,Cheddar Cheese,Sandwich Bar
22,Homemade Cage Free Egg Salad,Sandwich Bar
23,Homemade Chicken Salad,Sandwich Bar
24,Hummus,Sandwich Bar
25,Kosher Dill Pickle Chips,Sandwich Bar
26,Leaf Lettuce,Sandwich Bar
27,Provolone Cheese,Sandwich Bar
28,"Roasted Eggplant, Zucchini, Summer Squash and Red Peppers",Sandwich Bar
29,Roasted Low-Sodium Turkey,Sandwich Bar
30,Sliced Ham,Sandwich Bar
31,Sliced Red Onions,Sandwich Bar
32,Sliced Tomatoes,Sandwich Bar
33,Tuna Salad,Sandwich Bar
34,Honey Mustard Chicken,Entrees
35,Philly Cheese Steak Sub,Entrees
36,Beyond Sausage with Peppers & Onions,Vegetarian Entree
37,Rice,Starch and Potatoes
38,Sweet Potato Fries,Starch and Potatoes
39,Fried Cabbage,Vegetables
40,Steamed Carrots,Vegetables
41,Chocolate Chip Cookies,Desserts
42,Black Beans and Rice,Plant Protein
43,Brown Rice,Brown Rice Station
44,"Fruit, Bananas",Fresh Fruit
45,"Fruit, Local Apples",Fresh Fruit
46,"Fruit, Oranges",Fresh Fruit
47,Seasonal Hand Fruit,Fresh Fruit
48,Beef Chili,Chili Bar
49,Chopped Scallions,Chili Bar
50,Cornbread,Chili Bar
51,Shredded Cheddar Cheese,Chili Bar
52,Sour Cream,Chili Bar
53,Three Bean Chili,Chili Bar
54,Beyond Burger,Baby Berg Grill
55,French Fries,Baby Berg Grill
56,Grilled Burger,Baby Berg Grill
57,Grilled Chicken,Baby Berg Grill
58,Grilled Tofu,Baby Berg Grill
