,food,ingredients,allergens
0,Beef Vegetable and Barley,"Ingredients: 
				Vegetable Beef Barley Soup  (Beef Stock (beef bones, water), Tomato Strips (tomatoes, salt, citric acid), Angus Beef, Carrots, Onions, Pearl Barley, Green Beans, Peas, Celery, Mushrooms, Leeks, Red Peppers, Butter (cream, salt), Sea Salt, Parsley, Garlic Spices.)","Allergens: Milk, Gluten"
1,Tomato Basil Soup,"Ingredients: 
				Tomato Basil Soup  (Chopped Tomatoes (tomatoes, salt, naturally derived citric acid), Vegetable Stock (water, onions, cabbage, celery, mushrooms, carrots, turnips, black peppercorn, mustard seed, dill weed, thyme, bay leaves, marjoram), Onions, Carrots, Tomato Paste (tomatoes, naturally derived citric acid), Basil, Extra Virgin Olive Oil, Garlic, Sea Salt, Spices.)",Allergens:
2,Black Beans,"Ingredients: 
				Black Beans (Prepared Black Beans, Water, Salt, Calcium Chloride,(Firming Agent) )",Allergens:
3,Corn Niblets,"Ingredients: 
				Corn (Corn)",Allergens:
4,Cotija Cheese,"Ingredients: 
				Cotija Cheese (Pasteurized Whole Cow's Milk, Salt, Enzymes and Culture and powdered  cellulose added ))",Allergens: Milk
5,Diced Onions,"Ingredients: 
				Onions (Onions)",Allergens:
6,Diced Tomatoes,"Ingredients: 
				Local Backyard Beauty Tomatoes (Tomatoes)",Allergens:
7,Flaked Tuna,"Ingredients: 
				Tuna fish (White Tuna, Water, Vegetable Broth. (PEAS,CARROTS EXTRACTS) Contains: Soy, Salt)","Allergens: Fish, Soybeans"
8,Greek Salad,"Ingredients: 
				Cucumbers (Cucumber ), Salad Mix, Local Backyard Beauty Tomatoes (Tomatoes), Crumbled Feta Cheese (Pasteurized Whole Milk, Skim Milk, Cream, Whey, Salt, Cultures, Enzymes, Powdered Cellulose, Potassium Sorbate, Guar Gum, Xanthan Gum, Natamycin (A Natural Mold Inhibitor).  ), Kalamata Olives (Kalamata Olives, Water, Salt, Sunflower Oil, Extra Virgin Olive Oil, Lactic Acid, Calcium Chloride. ), Diced Red Onions (Red Onions)",Allergens: Milk
9,Grilled Tofu,"Ingredients: 
				Nature Soy Tofu (Water, non-GMO Soybeans, Calcium Sulfate, Glucono Delta-lactone, Magnesium chloride.), Rotisserie Spice (Salt, Onion, Spices, Paprika, Garlic, and Citric Acid.  ), Olive Oil (Refined Olive Oil, Extra Virgin Olive Oil, )",Allergens: Soybeans
10,HUDS Salad Mix,"Ingredients: 
				Salad Mix",Allergens:
11,Hard Cooked Eggs,"Ingredients: 
				Cage Free Hard Boiled Eggs (Hard Cooked Eggs)",Allergens: Eggs
12,Hummus,"Ingredients: 
				Hummus (Chick Peas, Sesame Tahini, Lemon Juice , Garlic, Sea Salt, Water.)",Allergens:
13,Mediterranean White Bean & Kale Salad,"Ingredients: 
				Mediterranean White Bean & Kale Salad (Great Northern Beans (great northern beans, water, salt, calcium chloride, disodium EDTA (to preserve color)), Vegetable Oil (may contain the following: soybean, canola, sunflower, olive oil, pumace oil, beta carotene), Lemon Juice, Sundried Tomatoes (tomatoes, sodium metabisulfite, citric acid, glucose, salt), Kale, Garlic, Salt, Pepper, Xanthan Gum (used as a thickening agent).  )",Allergens: Soybeans
14,Red Potato Salad,"Ingredients: 
				Red Royal Potato Salad (Red Potatoes, Mayonnaise (Soybean Oil, Distilled Vinegar, Water, Egg Yolk, Whole Egg, Contains Less Than 2% of Salt, Sugar, Lemon Juice Concentrate, Natural Flavor, Oleoresin  Paprika {For Color}, Calcium Disodium EDTA [To Protect Flavor]), Water Sugar, Onions, Contains Less Than 2% of Black Pepper, Cider Vinegar (Cider and White), Eggs, Potassium Sorbate [Preservative], Salt, Sodium Benzoate [Preservative], Soybean Oil, Xanthan and Guar Gum [Standardized with Dextrose].   )","Allergens: Eggs, Soybeans"
15,Roasted Brussels Sprouts,"Ingredients: 
				Brussels Sprouts (Brussels Sprouts ), Olive Oil (Refined Olive Oil, Extra Virgin Olive Oil, ), Kosher Salt (Salt), Ground Black Pepper (Black Pepper)",Allergens:
16,Seasoned Chicken Breast,"Ingredients: 
				Chicken Breast (Chicken, Water, Sea Salt), Olive Oil (Refined Olive Oil, Extra Virgin Olive Oil, ), Rotisserie Spice (Salt, Onion, Spices, Paprika, Garlic, and Citric Acid.  )",Allergens:
17,Sliced Jalapeno Peppers,"Ingredients: 
				Sliced Jalapeno Peppers (Jalapeno Peppers, Water, Vinegar, Salt, Calcium Chloride, Garlic CONTAINS LESS THAN 2% OF MALIC ACID, LACTIC ACID, CALCIUM CHLORIDE, SODIUM BENZOATE (PRESERVATIVE), SODIUM METABISULFITE (PRESERVATIVE, CONTAINS SULFITES), YELLOW 5)",Allergens: Alcohol
18,Spinach Salad Base,"Ingredients: 
				Spinach (Spinach)",Allergens:
19,Suntan Pepper Strips,"Ingredients: 
				Suntan Peppers (Bell Peppers)",Allergens:
20,Cheddar Cheese,"Ingredients: 
				White Cheddar Cheese ( Pasteurized Milk, Cheese Culture, Salt, Enzymes.)",Allergens: Milk
21,Homemade Cage Free Egg Salad,"Ingredients: 
				Egg Salad (Hard Cooked Eggs (Hard Cooked Eggs, Water, Citric Acid, Sodium Benzoate and Nisin [As Preservatives]), Mayonnaise (Soybean Oil, Egg Yolk, Vinegar, High Fructose Corn Syrup, Contains Less Than 2% Of: Water, Salt, Spice, Calcium Disodium EDTA [To Protect Flavor], Paprika), Cracker Meal (Bleached Wheat Flour), Contains Less Than 2% Of the Following: Salt, Spice, Sodium Benzoate and Potassium Sorbate (As Preservatives), Disodium Inosinate, Disodium Guanylate, Polysorbate 80 (Processing Aid). Contains Egg Soy Wheat)","Allergens: Eggs, Wheat, Soybeans, Gluten"
22,Homemade Chicken Salad,"Ingredients: 
				Chicken Salad Don's (White Meat Chicken, Mayonnaise (Canola Oil, Egg Yolks, Water, Honey, Distilled Vinegar, Whole Egg, Salt, Spice, Lemon Juice Concentrate), Celery, Dijon Mustard (Water, Mustard Seeds, Vinegar, Sea Salt), Dehydrated Onion, Cultured Dextrose (Maltodextrin, Cultured Dextrose), Sugar, Salt, Vinegar Powder, Corn Starch, Spice, Celery Seed.)","Allergens: Eggs, Soybeans"
